service_id,date,exception_type
190.0.2,20250519,1
190.0.3,20250519,2
190.1141.3,20250520,1
190.1141.3,20250521,1
190.1141.3,20250522,1
190.1141.3,20250523,1
190.1141.3,20250526,1
190.1141.3,20250527,1
190.1141.3,20250528,1
190.1141.3,20250529,1
190.1141.3,20250530,1
190.1141.3,20250602,1
190.1141.3,20250603,1
190.1141.3,20250604,1
190.1141.3,20250605,1
190.1141.3,20250606,1
190.1141.3,20250609,1
190.1141.3,20250610,1
190.1141.3,20250611,1
190.1141.3,20250612,1
190.1141.3,20250613,1
190.1141.3,20250616,1
190.1141.3,20250617,1
190.1141.3,20250618,1
190.1141.3,20250619,1
190.1141.3,20250620,1
190.1141.3,20250623,1
190.1141.3,20250624,1
190.1141.3,20250625,1
190.1141.3,20250626,1
190.1143.3,20250627,1
190.1141.3,20250630,1
190.0.2,20250701,1
190.0.3,20250701,2
190.1143.3,20250702,1
190.1143.3,20250703,1
190.1143.3,20250704,1
190.1143.3,20250707,1
190.1143.3,20250708,1
190.1143.3,20250709,1
190.1143.3,20250710,1
190.1143.3,20250711,1
190.1143.3,20250714,1
190.1143.3,20250715,1
190.1143.3,20250716,1
190.1143.3,20250717,1
190.1143.3,20250718,1
190.1143.3,20250721,1
190.1143.3,20250722,1
190.1143.3,20250723,1
190.1143.3,20250724,1
190.1143.3,20250725,1
190.1143.3,20250728,1
190.1143.3,20250729,1
190.1143.3,20250730,1
190.1143.3,20250731,1
190.1143.3,20250801,1
190.0.2,20250804,1
190.0.3,20250804,2
190.1143.3,20250805,1
190.1143.3,20250806,1
190.1143.3,20250807,1
190.1143.3,20250808,1
190.1143.3,20250811,1
190.1143.3,20250812,1
190.1143.3,20250813,1
190.1143.3,20250814,1
190.1143.3,20250815,1
190.1143.3,20250818,1
190.1143.3,20250819,1
190.1143.3,20250820,1
190.1143.3,20250821,1
190.1143.3,20250822,1
193.0.8,20250519,1
193.0.5,20250519,2
193.0.8,20250701,1
193.0.5,20250701,2
193.0.8,20250804,1
193.0.5,20250804,2
